X	Y
113.8008322	-5.298938268
113.4404718	-5.298938268
113.0801114	-5.298938268
112.7197511	-5.298938268
112.3593907	-5.298938268
111.9990304	-5.298938268
111.63867	-5.298938268
111.2783096	-5.298938268
110.9179493	-5.298938268
110.5575889	-5.298938268
110.1972286	-5.298938268
109.8368682	-5.298938268
109.4765078	-5.298938268
113.8008322	-5.659298628
113.4404718	-5.659298628
113.0801114	-5.659298628
112.7197511	-5.659298628
112.3593907	-5.659298628
111.9990304	-5.659298628
111.63867	-5.659298628
111.2783096	-5.659298628
110.9179493	-5.659298628
110.5575889	-5.659298628
110.1972286	-5.659298628
109.8368682	-5.659298628
109.4765078	-5.659298628
113.8008322	-6.019658988
113.4404718	-6.019658988
113.0801114	-6.019658988
112.7197511	-6.019658988
112.3593907	-6.019658988
111.9990304	-6.019658988
111.63867	-6.019658988
111.2783096	-6.019658988
110.9179493	-6.019658988
110.5575889	-6.019658988
110.1972286	-6.019658988
109.8368682	-6.019658988
109.4765078	-6.019658988
113.8008322	-6.380019349
113.4404718	-6.380019349
113.0801114	-6.380019349
112.7197511	-6.380019349
112.3593907	-6.380019349
111.9990304	-6.380019349
111.63867	-6.380019349
111.2783096	-6.380019349
110.9179493	-6.380019349
110.5575889	-6.380019349
110.1972286	-6.380019349
109.8368682	-6.380019349
109.4765078	-6.380019349
113.8008322	-6.740379709
113.4404718	-6.740379709
113.0801114	-6.740379709
112.7197511	-6.740379709
112.3593907	-6.740379709
111.9990304	-6.740379709
111.63867	-6.740379709
111.2783096	-6.740379709
110.9179493	-6.740379709
110.5575889	-6.740379709
110.1972286	-6.740379709
109.8368682	-6.740379709
109.4765078	-6.740379709
113.8008322	-7.10074007
113.4404718	-7.10074007
113.0801114	-7.10074007
112.7197511	-7.10074007
112.3593907	-7.10074007
111.9990304	-7.10074007
111.63867	-7.10074007
111.2783096	-7.10074007
110.9179493	-7.10074007
110.5575889	-7.10074007
110.1972286	-7.10074007
109.8368682	-7.10074007
109.4765078	-7.10074007
113.8008322	-7.46110043
113.4404718	-7.46110043
113.0801114	-7.46110043
112.7197511	-7.46110043
112.3593907	-7.46110043
111.9990304	-7.46110043
111.63867	-7.46110043
111.2783096	-7.46110043
110.9179493	-7.46110043
110.5575889	-7.46110043
110.1972286	-7.46110043
109.8368682	-7.46110043
109.4765078	-7.46110043
113.8008322	-7.82146079
113.4404718	-7.82146079
113.0801114	-7.82146079
112.7197511	-7.82146079
112.3593907	-7.82146079
111.9990304	-7.82146079
111.63867	-7.82146079
111.2783096	-7.82146079
110.9179493	-7.82146079
110.5575889	-7.82146079
110.1972286	-7.82146079
109.8368682	-7.82146079
109.4765078	-7.82146079
113.8008322	-8.181821151
113.4404718	-8.181821151
113.0801114	-8.181821151
112.7197511	-8.181821151
112.3593907	-8.181821151
111.9990304	-8.181821151
111.63867	-8.181821151
111.2783096	-8.181821151
110.9179493	-8.181821151
110.5575889	-8.181821151
110.1972286	-8.181821151
109.8368682	-8.181821151
109.4765078	-8.181821151
113.8008322	-8.542181511
113.4404718	-8.542181511
113.0801114	-8.542181511
112.7197511	-8.542181511
112.3593907	-8.542181511
111.9990304	-8.542181511
111.63867	-8.542181511
111.2783096	-8.542181511
110.9179493	-8.542181511
110.5575889	-8.542181511
110.1972286	-8.542181511
109.8368682	-8.542181511
109.4765078	-8.542181511
113.8008322	-8.902541871
113.4404718	-8.902541871
113.0801114	-8.902541871
112.7197511	-8.902541871
112.3593907	-8.902541871
111.9990304	-8.902541871
111.63867	-8.902541871
111.2783096	-8.902541871
110.9179493	-8.902541871
110.5575889	-8.902541871
110.1972286	-8.902541871
109.8368682	-8.902541871
109.4765078	-8.902541871
113.8008322	-9.262902232
113.4404718	-9.262902232
113.0801114	-9.262902232
112.7197511	-9.262902232
112.3593907	-9.262902232
111.9990304	-9.262902232
111.63867	-9.262902232
111.2783096	-9.262902232
110.9179493	-9.262902232
110.5575889	-9.262902232
110.1972286	-9.262902232
109.8368682	-9.262902232
109.4765078	-9.262902232
113.8008322	-9.623262592
113.4404718	-9.623262592
113.0801114	-9.623262592
112.7197511	-9.623262592
112.3593907	-9.623262592
111.9990304	-9.623262592
111.63867	-9.623262592
111.2783096	-9.623262592
110.9179493	-9.623262592
110.5575889	-9.623262592
110.1972286	-9.623262592
109.8368682	-9.623262592
109.4765078	-9.623262592
113.8008322	-9.983622952
113.4404718	-9.983622952
113.0801114	-9.983622952
112.7197511	-9.983622952
112.3593907	-9.983622952
111.9990304	-9.983622952
111.63867	-9.983622952
111.2783096	-9.983622952
110.9179493	-9.983622952
110.5575889	-9.983622952
110.1972286	-9.983622952
109.8368682	-9.983622952
109.4765078	-9.983622952
113.8008322	-10.34398331
113.4404718	-10.34398331
113.0801114	-10.34398331
112.7197511	-10.34398331
112.3593907	-10.34398331
111.9990304	-10.34398331
111.63867	-10.34398331
111.2783096	-10.34398331
110.9179493	-10.34398331
110.5575889	-10.34398331
110.1972286	-10.34398331
109.8368682	-10.34398331
109.4765078	-10.34398331
113.8008322	-10.70434367
113.4404718	-10.70434367
113.0801114	-10.70434367
112.7197511	-10.70434367
112.3593907	-10.70434367
111.9990304	-10.70434367
111.63867	-10.70434367
111.2783096	-10.70434367
110.9179493	-10.70434367
110.5575889	-10.70434367
110.1972286	-10.70434367
109.8368682	-10.70434367
109.4765078	-10.70434367
113.8008322	-11.06470403
113.4404718	-11.06470403
113.0801114	-11.06470403
112.7197511	-11.06470403
112.3593907	-11.06470403
111.9990304	-11.06470403
111.63867	-11.06470403
111.2783096	-11.06470403
110.9179493	-11.06470403
110.5575889	-11.06470403
110.1972286	-11.06470403
109.8368682	-11.06470403
109.4765078	-11.06470403
113.8008322	-11.42506439
113.4404718	-11.42506439
113.0801114	-11.42506439
112.7197511	-11.42506439
112.3593907	-11.42506439
111.9990304	-11.42506439
111.63867	-11.42506439
111.2783096	-11.42506439
110.9179493	-11.42506439
110.5575889	-11.42506439
110.1972286	-11.42506439
109.8368682	-11.42506439
109.4765078	-11.42506439
113.8008322	-11.78542475
113.4404718	-11.78542475
113.0801114	-11.78542475
112.7197511	-11.78542475
112.3593907	-11.78542475
111.9990304	-11.78542475
111.63867	-11.78542475
111.2783096	-11.78542475
110.9179493	-11.78542475
110.5575889	-11.78542475
110.1972286	-11.78542475
109.8368682	-11.78542475
109.4765078	-11.78542475
113.8008322	-12.14578511
113.4404718	-12.14578511
113.0801114	-12.14578511
112.7197511	-12.14578511
112.3593907	-12.14578511
111.9990304	-12.14578511
111.63867	-12.14578511
111.2783096	-12.14578511
110.9179493	-12.14578511
110.5575889	-12.14578511
110.1972286	-12.14578511
109.8368682	-12.14578511
109.4765078	-12.14578511
