Meteorological Climatological and Geophysical Agency, BMKG
Earthquake Database
===========================================================

File Created: Tue Jun 26 2018 16:30:33 WIB
Earthquake Events = 584 Events
Date Range: 2015-01-01 - 2015-12-31
Latitude: 5.8S - 12S
Longitude: 114.5E - 105E
Magnitude Range: 1 - 9.5 SR
Depth Range: 1 - 1000 Km


EventID: bmg2015aaya
Date		Time		Latitude	Longitude	Depth	Mag	TypeMag	smaj		smin	az	rms		cPhase	Region
2015-01-01	12:07:10.9	-10.14	113.84	59	4.3	MLv		17.02		1.68	113	1.078		48		South of Java, Indonesia  

Net	Sta	Phase	Date		Time		dis	Az	Res	Amp		Per	Qual	mb	ML	mB
2015-01-01	15:45:50.4	-9.32		113.33	29	4.2	MLv		8.32		1.05	174	1.092		38		South of Java, Indonesia  

Net	Sta	Phase	Date		Time		dis	Az	Res	Amp		Per	Qual	mb	ML	mB
IA	GMJI	P	2015-01-01	15:46:08.2	1	6	-1	0		0	i	0	3.6	0
IA	JAGI	P	2015-01-01	15:46:10.3	1.2	44	-0.6	0		0	i	0	4.2	0
IA	KRK	P	2015-01-01	15:46:14.7	1.4	323	0	0		0	i	0	4.5	0
IA	BYJI	P	2015-01-01	15:46:16.1	1.5	43	0.7	0		0	i	0	3.9	0
IA	BLJI	P	2015-01-01	15:46:16.6	1.6	10	0	0		0	i	0	3.9	0
IA	RTBI	P	2015-01-01	15:46:19.5	1.8	62	-0.2	0		0	i	0	4.4	0
IA	ABJI	P	2015-01-01	15:46:20.7	1.8	31	1.7	0		0	i	0	3.9	0
IA	GMJI	S	2015-01-01	15:46:21.3	1	6	-2.1	0		0	i	0	3.6	0
IA	PWJI	P	2015-01-01	15:46:21.7	2	310	-0.4	0		0	i	0	3.8	0
IA	DNP	P	2015-01-01	15:46:22.4	2	71	0.6	0		0	i	0	4.9	0
IA	JAGI	S	2015-01-01	15:46:24.5	1.2	44	-2	0		0	i	0	4.2	0
IA	SWJI	P	2015-01-01	15:46:25.6	2.2	316	0.5	0		0	i	0	3.9	0
IA	SRBI	P	2015-01-01	15:46:25.8	2.2	57	0.4	0		0	i	0	3.9	0
IA	KMMI	P	2015-01-01	15:46:27.4	2.3	15	0.4	0		0	i	0	3.6	0
IA	GRJI	P	2015-01-01	15:46:30.9	2.5	341	1.3	0		0	i	0	3.7	0
IA	KRK	S	2015-01-01	15:46:32.5	1.4	323	-0.8	0		0	i	0	4.5	0
IA	KLNI	P	2015-01-01	15:46:34.3	2.9	72	0	0		0	i	0	4.1	0
IA	BYJI	S	2015-01-01	15:46:35.6	1.5	43	1	0		0	i	0	3.9	0
IA	BLJI	S	2015-01-01	15:46:38.2	1.6	10	1.4	0		0	i	0	3.9	0
IA	UGM	P	2015-01-01	15:46:38.8	3.1	297	1.3	0		0	i	0	4.4	0
IA	BWJI	P	2015-01-01	15:46:41.5	3.5	349	-1.5	0		0	i	0	4.7	0
IA	RTBI	S	2015-01-01	15:46:41.7	1.8	62	-0.6	0		0	i	0	4.4	0
IA	TWSI	P	2015-01-01	15:46:43.1	3.6	81	-0.6	0		0	i	0	4.1	0
IA	ABJI	S	2015-01-01	15:46:43.3	1.8	31	2.3	0		0	i	0	3.9	0
IA	PWJI	S	2015-01-01	15:46:44.1	2	310	-2.5	0		0	i	0	3.8	0
IA	DNP	S	2015-01-01	15:46:45.4	2	71	-0.7	0		0	i	0	4.9	0
IA	SRBI	S	2015-01-01	15:46:52.2	2.2	57	-0.5	0		0	i	0	3.9	0
IA	PLAI	P	2015-01-01	15:46:55.5	4.4	84	-0.2	0		0	i	0	4.4	0
IA	GRJI	S	2015-01-01	15:47:01.1	2.5	341	0.9	0		0	i	0	3.7	0
IA	KPJI	P	2015-01-01	15:47:01.5	4.8	294	1	0		0	i	0	4.1	0
IA	DBNI	P	2015-01-01	15:47:04.6	5	81	1.2	0		0	i	0	4.2	0
IA	CMJI	P	2015-01-01	15:47:04.9	5.1	287	0.6	30.3		0.8	i	4.3	4.2	0
IA	CISI	P	2015-01-01	15:47:14.4	5.7	287	0.8	38.5		0.5	i	4.7	4.5	0
AU	XMIS	P	2015-01-01	15:47:38.1	7.6	261	-1.8	64.4		1.9	i	4.5	5.2	0
IA	BKSI	P	2015-01-01	15:47:42.4	7.8	60	0	29.5		0.8	i	4.6	4.6	0
IA	CGJI	P	2015-01-01	15:47:45.8	8	289	0.7	27.4		0.4	i	4.8	0	0
IA	EDFI	P	2015-01-01	15:47:47.7	8.3	87	-0.9	6.3		0.6	i	4	0	0
IA	BNSI	P	2015-01-01	15:47:48.9	8.3	54	-0.3	0		0	i	0	0	0


EventID: bmg2015afsy
Date		Time		Latitude	Longitude	Depth	Mag	TypeMag	smaj		smin	az	rms		cPhase	Region
2015-01-04	03:15:04.7	-7.86		106.5		10	3.8	MLv		4.88		1.23	107	0.391		15		Java, Indonesia    

Net	Sta	Phase	Date		Time		dis	Az	Res	Amp		Per	Qual	mb	ML	mB
IA	CBJI	P	2015-01-04	03:15:27.6	1.2	21	0.2	0		0	i	0	4	0
IA	CISI	P	2015-01-04	03:15:28.4	1.3	77	-0.5	0		0	i	0	3.8	0
IA	DBJI	P	2015-01-04	03:15:28.6	1.3	11	-0.1	0		0	i	0	3.7	0
IA	CGJI	P	2015-01-04	03:15:30.6	1.5	327	-0.4	0		0	i	0	3.9	0
IA	LEM	P	2015-01-04	03:15:31.8	1.5	47	0.3	0		0	i	0	3.6	0
IA	TNG	P	2015-01-04	03:15:34.0	1.7	5	0	0		0	i	0	3.9	0
IA	TNGI	P	2015-01-04	03:15:34.0	1.7	5	0	0		0	i	0	3.8	0
IA	KPJI	P	2015-01-04	03:15:45.5	2.5	78	0.5	0		0	i	0	3.7	0
AU	XMIS	P	2015-01-04	03:15:48.9	2.7	198	0.3	0		0	i	0	4	0
IA	CTJI	P	2015-01-04	03:15:49.9	2.8	73	0.4	0		0	i	0	3.3	0
IA	KLSI	P	2015-01-04	03:16:00.3	3.6	331	-0.4	0		0	i	0	3.4	0
IA	LWLI	P	2015-01-04	03:16:02.6	3.7	319	0.3	0		0	i	0	4.3	0
IA	UGM	P	2015-01-04	03:16:05.2	4	91	-0.7	0		0	i	0	4.5	0
IA	MDSI	P	2015-01-04	03:16:07.6	4.1	325	0.5	0		0	i	0	3.6	0
IA	EGSI	P	2015-01-04	03:16:17.8	4.9	300	-0.4	0		0	i	0	4.5	0


EventID: bmg2015aicr
Date		Time		Latitude	Longitude	Depth	Mag	TypeMag	smaj		smin	az	rms		cPhase	Region
2015-01-05	10:27:05.4	-8.47		111.92	77	3.6	MLv		3.28		0.47	196	0.903		20		Java, Indonesia    

Net	Sta	Phase	Date		Time		dis	Az	Res	Amp		Per	Qual	mb	ML	mB
IA	PWJI	P	2015-01-05	10:27:19.6	0.5	345	-0.4	0		0	i	0	3.2	0
IA	KRK	P	2015-01-05	10:27:21.1	0.6	59	-0.1	0		0	i	0	4.4	0
IA	SWJI	P	2015-01-05	10:27:22.1	0.7	348	-0.2	0		0	i	0	3.7	0
IA	NGJI	P	2015-01-05	10:27:26.8	1.2	337	0.1	0		0	i	0	3	0
IA	PWJI	S	2015-01-05	10:27:30.2	0.5	345	-1	0		0	i	0	3.2	0
IA	GMJI	P	2015-01-05	10:27:30.6	1.5	83	-0.4	0		0	i	0	3.1	0
IA	UGM	P	2015-01-05	10:27:30.8	1.5	292	0.2	0		0	i	0	3.4	0
IA	GRJI	P	2015-01-05	10:27:32.6	1.6	20	0.1	0		0	i	0	3.1	0
IA	BLJI	P	2015-01-05	10:27:34.6	1.8	67	-0.2	0		0	i	0	3.9	0
IA	KRK	S	2015-01-05	10:27:34.7	0.6	59	1.4	0		0	i	0	4.4	0
